country_name,P0_14,P15_29,P30_44,P45_64,P65,TOTAL_POP,N0_14,N15_29,N30_44,N45_64,N65,TOTAL_CASES,Incidence Per Capita,Entity,Code,Year,Consumption,Continent
Algeria,338603.0,380581.0,221287.4,156217.6,58953.8,1155642.8,73.2,150.2,389.0,900.6,793.4,2306.4,0.0019957723961071708,Algeria,DZA,2008,0.2,Africa
Argentina,1363473.2,1362708.8,995826.8,955536.3999999999,476624.2,5154169.4,505.79999999999995,1072.2,3325.0000000000005,14384.2,19659.6,38946.799999999996,0.0075563678601638495,Argentina,ARG,2008,3.16,South America
Australia,4999918.4,5577377.0,5553157.8,6588836.2,3567685.4000000004,26286974.8,2321.8,7039.799999999999,26538.8,149071.2,240196.4,425168.0,0.01617409394709048,Australia,AUS,2008,4.69,NA
Austria,1242177.8,1570187.8,1820801.4,2260183.4,1474437.2,8367787.6,552.6,1666.8,6745.8,38611.2,69033.6,116610.0,0.013935583164180698,Austria,AUT,2008,6.4,Eastern Europe
Bahrain,180708.6,161927.0,110782.4,92510.2,23760.8,569689.0,61.2,86.6,234.4,715.2,545.8,1643.2,0.0028843807761778795,Bahrain,BHR,2008,0.47,NA
Belarus,1418105.4,2122244.6,2010750.4,2609072.4,1332427.2,9492600.0,625.6,2124.2,8004.4,49197.0,57786.8,117738.0,0.012403135073636306,Belarus,BLR,2008,2.54,Eastern Europe
Belgium,1835484.0,2002990.6,2243595.0,2902555.4,1864788.0,10849413.0,903.4,2725.6,12276.6,76408.6,137359.2,229673.4,0.021169200582556863,Belgium,BEL,2008,5.04,Western Europe
Brazil,810362.7999999999,1050782.4,918684.0000000001,768431.7999999999,256174.8,3804435.8000000003,349.19999999999993,996.8,3726.0,14200.8,15864.4,35161.799999999996,0.009242316561104802,Brazil,BRA,2008,3.84,South America
Brunei,54589.6,53537.8,37166.4,31178.8,7988.2,184460.8,18.0,55.4,149.4,385.4,341.2,949.4,0.005146892998403997,Brunei,BRN,2008,0.59,NA
Bulgaria,1007646.6,1424260.8,1625953.2,2074335.4,1347210.2,7479406.2,380.8,1199.2,6327.0,39193.0,54421.0,101521.0,0.013573403728226446,Bulgaria,BGR,2008,4.41,Eastern Europe
Canada,4401185.0,5376901.199999999,5415982.0,7293994.800000001,3608129.0,26096192.000000004,2187.4,6128.6,22902.4,143358.19999999998,223497.00000000003,398083.2,0.015254455515961867,Canada,CAN,2008,4.2,Northern America
Chile,383577.2,432543.80000000005,367350.80000000005,378137.2,147391.2,1709000.2000000002,160.2,357.8,1032.4,4240.4,6904.2,12695.0,0.007428319786036303,Chile,CHL,2008,2.43,South America
China,7593765.400000002,14168082.799999997,14880224.8,18674988.600000005,7649811.199999998,62966872.800000004,2472.000000000001,9227.399999999996,48444.19999999999,239324.0,285600.2,585086.4,0.009291971698489686,China,CHN,2008,1.55,Asia
Colombia,1004484.0,1101681.2000000002,886215.6,821269.4000000001,306594.8,4120245.0,426.2,860.9999999999999,2622.9999999999995,8613.8,11042.999999999998,23686.399999999998,0.005748784356270076,Colombia,COL,2008,3.06,South America
Costa Rica,906760.2,1014451.6,781481.0,689343.4,235874.2,3627910.4,408.2,932.8,2489.6,7782.4,10153.8,21766.8,0.0059998174155569,Costa Rica,CRI,2008,2.46,Northern America
Croatia,663073.2,828916.6,890425.0,1209290.2,762688.4,4365909.4,331.2,912.4,3500.0,23647.4,38175.8,66566.8,0.015246949467160266,Croatia,HRV,2008,5.01,Eastern Europe
Cyprus,141382.2,203144.2,181383.6,204149.4,106682.6,836742.0,48.6,273.6,785.4,3251.4,5008.2,9367.2,0.011194848591322058,Cyprus,CYP,2008,3.89,NA
Czechia,1511264.0,2032140.0,2465401.6,2853203.4,1626868.8,10488877.8,564.4,2083.0,9559.6,68952.0,114380.0,195539.0,0.018642509115703493,Czechia,CZE,2008,7.15,Eastern Europe
Denmark,996485.0,993666.8,1141618.2,1487160.2,922314.4,5541244.6,429.8,1444.6,6946.2,41811.0,76622.8,127254.4,0.022964949065774863,Denmark,DNK,2008,4.51,Western Europe
Ecuador,1752462.6,1646507.6,1238055.0,995574.7999999999,375388.79999999993,6007988.8,791.6,1248.2000000000003,3303.2,9235.2,12445.6,27086.199999999997,0.004508363930372174,Ecuador,ECU,2008,2.39,South America
Estonia,202725.2,271608.8,273875.0,348882.0,233552.0,1330643.0,82.0,263.8,1004.8,7236.4,13722.0,22309.0,0.016765578746515783,Estonia,EST,2008,6.02,Eastern Europe
France,2107836.2,2214071.5999999996,2297452.4000000004,2979556.0000000005,1902274.0,11501190.200000001,917.4,2476.8,10982.2,70261.4,109479.19999999997,194117.00000000003,0.01687799233161104,France,FRA,2008,2.2,Western Europe
Germany,7369507.799999999,9263907.399999999,10894005.0,14838656.6,10691113.8,53057190.6,3502.2000000000003,11337.2,54157.8,331944.0,757108.2,1158049.4000000001,0.021826436471741872,Germany,DEU,2008,6.14,Western Europe
Iceland,66424.0,70824.0,66004.4,77285.8,38733.8,319272.0,25.6,85.6,331.2,1623.4,2899.2,4965.0,0.01555100353303766,Iceland,ISL,2008,4.65,Western Europe
India,11545051.799999999,14089573.799999999,11035807.4,8025379.199999998,2624468.4000000004,47320280.599999994,2461.8,5000.2,18599.399999999998,58626.6,42066.99999999999,126873.20000000001,0.0026811590800245597,India,IND,2008,0.14,Asia
Iran,345180.0,487510.0,297239.2,188040.6,59384.4,1377354.2,101.0,345.4,784.2,1924.4,1677.8,4832.8,0.0035087561354951403,Iran,IRN,2008,0.0,NA
Ireland,956040.6,992522.4,1064258.8,1019211.6,515865.6,4547899.0,405.4,1168.6,5058.6,26069.4,44251.6,76953.6,0.016920692390046482,Ireland,IRL,2008,6.31,Western Europe
Israel,2140368.6,1748983.0,1497914.8,1473517.8,758024.2,7618808.4,989.2,1851.4,5732.4,27327.2,41730.2,77630.4,0.010189309918858176,Israel,ISR,2008,1.02,NA
Italy,3491975.6,3810704.8,5717016.799999999,6587892.0,4994803.6,24602392.8,1775.4,5594.4,29770.4,143861.40000000002,325389.20000000007,506390.80000000005,0.020582989797642774,Italy,ITA,2008,1.71,Western Europe
Jamaica,123166.6,153833.2,112676.4,100311.8,38851.4,528839.4,37.0,49.6,264.0,1003.8,1192.4,2553.0,0.0048275525613258015,Jamaica,JAM,2008,1.63,Northern America
Japan,3835201.2,4448532.000000001,5996616.6,7523203.6,6427926.600000001,28320707.4,1345.1999999999998,2919.8,20487.8,139237.2,371816.60000000003,535806.6000000001,0.018919251995802907,Japan,JPN,2008,1.48,Asia
Jordan,2279527.2,1864538.2,1156256.8,613386.8,202289.0,6115998.0,644.6,955.4,2495.8,5523.4,4353.4,14005.6,0.0022899942086311996,Jordan,JOR,2008,0.19,NA
Kenya,951003.0,1210213.0,700362.0,238030.0,35190.0,3134798.0,270.2,450.2,1320.4,2276.0,1379.6,5696.4,0.0018171505787613746,Kenya,KEN,2008,1.05,Africa
Kuwait,752589.4,997630.0,1251541.4,551803.6,64127.8,3617692.2,254.4,456.8,1327.4,2721.6,1458.4,6218.6,0.0017189411525944634,Kuwait,KWT,2008,0.02,NA
Latvia,176601.4,251172.8,249990.0,332015.0,228532.0,1238311.2,78.4,260.4,989.0,6530.4,11697.8,19556.0,0.015792476075480864,Latvia,LVA,2008,4.12,NA
Lithuania,463453.6,645066.8,627995.8,813277.0,545070.2,3094863.4,188.0,603.8,2787.8,18977.6,31004.6,53561.8,0.017306676604854354,Lithuania,LTU,2008,5.4,Eastern Europe
Malaysia,436680.0,452260.0,388820.0,355040.0,113000.0,1745800.0,216.8,281.20000000000005,957.8,3689.0,3163.8,8308.599999999999,0.0047591934929545185,Malaysia,MYS,2008,0.37,Asia
Malta,63158.2,87812.8,83147.6,117439.4,64187.0,415745.0,28.2,87.6,308.4,1973.4,3218.0,5615.6,0.013507318187831484,Malta,MLT,2008,2.66,NA
Netherlands,2909303.6,3030310.4,3453244.2,4626808.6,2588205.0,16607871.8,1231.0,3625.8,15670.2,99667.0,173988.0,294182.0,0.017713407445739075,Netherlands,NLD,2008,4.75,Western Europe
New Zealand,892387.0,922140.0,881777.0,1091275.0,570138.0,4357717.0,399.4,944.2,4125.0,22003.2,36089.6,63561.4,0.014585940298555413,New Zealand,NZL,2008,4.03,NA
Norway,918512.8,946238.6,1045607.8,1245236.2,735924.2,4891519.6,401.6,1128.2,4417.0,25883.6,50555.0,82385.4,0.016842496143734148,Norway,NOR,2008,3.06,Western Europe
Peru,1409128.8,1535243.2,1261981.2,1001045.4,375552.8,5582951.4,580.2,1169.0,3788.6,11119.2,17395.8,34094.8,0.006106949095061082,Peru,PER,2008,2.73,South America
Philippines,4062251.0,4155497.0,3087806.0,2236950.0,488640.0,14031144.0,1373.4,2216.8,7435.8,22116.8,14452.6,47727.0,0.0034015045387603463,Philippines,PHL,2008,1.24,Asia
Poland,554297.2,794838.2,742094.8,921765.2,414504.6,3427500.0,244.0,679.4,2149.4,17140.6,19826.2,40039.6,0.011681867250182349,Poland,POL,2008,6.1,Eastern Europe
Portugal,36327.0,43552.6,46097.0,46261.4,25266.2,197504.2,11.4,56.4,198.8,1047.2,1552.6,2866.4,0.014513109088313058,Portugal,PRT,2008,3.56,Western Europe
Qatar,103375.2,65876.4,43024.2,29197.2,8291.8,249764.8,19.2,43.0,110.4,282.6,228.2,683.4,0.0027361741926804736,Qatar,QAT,2008,0.36,NA
Russia,1263548.5999999999,1954970.0,1825388.2000000002,2394219.4,1124582.8,8562709.0,565.2,1621.0,6409.599999999999,43824.6,50053.8,102474.20000000001,0.011967497669253972,Russia,RUS,2008,4.64,Eastern Europe
Saudi Arabia,1342717.4,1215764.8,932585.6,629014.2,151180.2,4271262.2,578.6,902.4,1542.0,3192.6,2675.4,8891.0,0.0020815860941526838,Saudi Arabia,SAU,2008,0.0,NA
Seychelles,15823.6,17052.6,17238.2,14990.0,5497.8,70602.2,2.4,10.2,28.6,162.8,173.8,377.8,0.00535110803912626,Seychelles,SYC,2008,4.54,NA
Slovakia,501783.6,752229.8,742958.8,857466.6,396835.2,3251274.0,258.6,780.2,2937.4,19511.4,26519.2,50006.8,0.015380678466348885,Slovakia,SVK,2008,3.79,NA
Slovenia,288846.2,379827.0,458307.2,578373.4,339242.8,2044596.6,118.0,441.0,1968.8,12975.8,21424.2,36927.8,0.01806116668686625,Slovenia,SVN,2008,5.16,Eastern Europe
South Africa,434720.2,299955.2,131712.4,134614.2,72407.0,1073409.0,36.6,95.6,309.6,779.8,792.8,2014.4,0.0018766378891922838,South Africa,ZAF,2008,3.96,Africa
Spain,1539049.9999999998,1832514.8,2620162.1999999997,2610797.1999999997,1744446.0,10346970.2,661.1999999999998,1829.8,9779.399999999998,52481.00000000001,97292.2,162075.2,0.01566402501091576,Spain,ESP,2008,4.92,Western Europe
Switzerland,678274.5999999999,812666.0,999998.6,1176751.4,726345.7999999999,4394036.4,302.0,1040.0,4530.999999999999,24863.199999999997,49039.6,79775.8,0.018155470901424484,Switzerland,CHE,2008,3.31,Western Europe
Thailand,1994905.5999999999,2824217.8,3033390.1999999997,2808805.1999999993,942993.4000000001,11604312.200000001,707.5999999999999,1559.4,7288.0,27175.600000000002,24024.2,60754.799999999996,0.005235536493063328,Thailand,THA,2008,1.89,Asia
Turkey,2656040.3999999994,2976623.8,2871244.6000000006,2634596.4,992491.8,12130997.000000002,1167.1999999999998,2475.2000000000007,9658.6,39925.8,39669.0,92930.99999999999,0.007660623442574421,Turkey,TUR,2008,0.85,NA
Uganda,878679.8,858955.4,355426.4,114749.8,35117.4,2242928.8,331.0,790.0,1443.4,1356.2,792.6,4778.0,0.0021302504118721915,Uganda,UGA,2008,0.53,Africa
Ukraine,6497672.0,10225884.2,9680835.0,12216232.4,7177320.6,45797944.2,2719.8,8689.8,34749.6,204344.0,232599.6,483102.8,0.010548569557844912,Ukraine,UKR,2008,3.57,Eastern Europe
United Kingdom,31451660.4,35442318.6,36958084.0,45121675.8,29210933.6,178184672.39999998,12422.400000000001,37930.8,143099.4,826464.4000000001,1809635.8000000003,2829552.8,0.015879888892171626,United Kingdom,GBR,2008,4.22,Western Europe
United States,413887669.59999985,439148612.99999994,416453414.40000004,551138702.6000001,274737316.6,2095365716.1999996,195076.39999999997,497791.2,1857043.5999999994,11573180.400000002,16493258.6,30616787.599999998,0.01461166772143449,United States,USA,2008,4.54,Northern America
Uruguay,761375.0,754931.4,681300.4,732665.0,465115.6,3395387.4,301.8,709.0,2632.6,13246.2,26419.0,43308.6,0.012755127735939646,Uruguay,URY,2008,1.86,South America
Vietnam,1149051.2,2023776.6,1529025.8,1037710.8,289093.0,6028657.4,415.4,719.8,2692.4,8531.8,4817.8,17177.2,0.0028492579458902407,Vietnam,VNM,2008,1.44,Asia
Zimbabwe,288098.6,304815.0,187895.2,74049.2,18448.0,873306.0,106.8,214.2,805.8,1120.0,984.8,3397.8,0.003890732458038763,Zimbabwe,ZWE,2008,1.47,NA
